event_id_memoria,source_event_id,source,origin_time_utc,latitude,longitude,depth_km,magnitude_value,magnitude_type,magnitude_original_value,magnitude_original_type,magnitude_comparable,magnitude_homogenization_method,magnitude_conversion_equation,magnitude_conversion_uncertainty,magnitude_homogenization_status,intensity_max,location_text,felt,location_uncertainty_km,magnitude_uncertainty,tectonic_domain,domain_confidence,historical_quality,quality_score,record_status,source_url,source_file,duplicate_group_id,is_preferred_record,cluster_id,cluster_role,is_background_event,declustering_method,declustering_eligible,declustering_exclusion_reason,ingested_at_utc
MEM-DA9BFA6675D06AA4,MEM-DA9BFA6675D06AA4,IPMA,2026-08-12 06:03:54+00:00,41.423,-7.599,16.0,0.6,L,0.6,L,0.6,,,,,,SE Vila Pouca de Aguiar,,,,,,high,0.92,preliminary,https://api.ipma.pt/open-data/observation/seismic/7.json,/home/runner/work/memoria-seismic-observatory/memoria-seismic-observatory/data/bronze/ipma/2026/09/01/area_7_20260901T084033Z.json,,True,,,False,,,,2026-09-01 08:40:33.083913+00:00
MEM-57879CB61BE90076,MEM-57879CB61BE90076,IPMA,2026-08-12 09:08:15+00:00,37.299,-8.472,14.0,0.5,L,0.5,L,0.5,,,,,,SE Monchique,,,,,,high,0.92,preliminary,https://api.ipma.pt/open-data/observation/seismic/7.json,/home/runner/work/memoria-seismic-observatory/memoria-seismic-observatory/data/bronze/ipma/2026/09/01/area_7_20260901T084033Z.json,,True,,,False,,,,2026-09-01 08:40:33.083913+00:00
MEM-4DB617868E29C6AD,MEM-4DB617868E29C6AD,IPMA,2026-08-12 15:44:54+00:00,38.106,-7.399,8.0,0.5,L,0.5,L,0.5,,,,,,SE Moura,,,,,,high,0.92,preliminary,https://api.ipma.pt/open-data/observation/seismic/7.json,/home/runner/work/memoria-seismic-observatory/memoria-seismic-observatory/data/bronze/ipma/2026/09/01/area_7_20260901T084033Z.json,,True,,,False,,,,2026-09-01 08:40:33.083913+00:00
MEM-EFCAC39301DED209,MEM-EFCAC39301DED209,IPMA,2026-08-12 17:58:18+00:00,37.201,-9.053,27.0,0.7,L,0.7,L,0.7,,,,,,NW Vila do Bispo,,,,,,high,0.92,preliminary,https://api.ipma.pt/open-data/observation/seismic/7.json,/home/runner/work/memoria-seismic-observatory/memoria-seismic-observatory/data/bronze/ipma/2026/09/01/area_7_20260901T084033Z.json,,True,,,False,,,,2026-09-01 08:40:33.083913+00:00
MEM-334E840FF8605DD5,MEM-334E840FF8605DD5,IPMA,2026-08-13 03:52:49+00:00,38.377,-8.144,3.0,0.4,L,0.4,L,0.4,,,,,,NW Viana do Alentejo,,,,,,high,0.92,preliminary,https://api.ipma.pt/open-data/observation/seismic/7.json,/home/runner/work/memoria-seismic-observatory/memoria-seismic-observatory/data/bronze/ipma/2026/09/01/area_7_20260901T084033Z.json,,True,,,False,,,,2026-09-01 08:40:33.083913+00:00
MEM-99AD5BFAAFBC0AF1,MEM-99AD5BFAAFBC0AF1,IPMA,2026-08-13 05:03:07+00:00,38.453,-8.135,10.0,0.7,L,0.7,L,0.7,,,,,,NW Viana do Alentejo,,,,,,high,0.92,preliminary,https://api.ipma.pt/open-data/observation/seismic/7.json,/home/runner/work/memoria-seismic-observatory/memoria-seismic-observatory/data/bronze/ipma/2026/09/01/area_7_20260901T084033Z.json,,True,,,False,,,,2026-09-01 08:40:33.083913+00:00
MEM-2B05006A45AFCE4E,MEM-2B05006A45AFCE4E,IPMA,2026-08-13 22:04:36+00:00,37.701,-8.344,2.0,0.6,L,0.6,L,0.6,,,,,,NW Ourique,,,,,,high,0.92,preliminary,https://api.ipma.pt/open-data/observation/seismic/7.json,/home/runner/work/memoria-seismic-observatory/memoria-seismic-observatory/data/bronze/ipma/2026/09/01/area_7_20260901T084033Z.json,,True,,,False,,,,2026-09-01 08:40:33.083913+00:00
MEM-11EA7F6FCE9F4377,MEM-11EA7F6FCE9F4377,IPMA,2026-08-13 23:19:29+00:00,38.333,-9.01,8.0,0.4,L,0.4,L,0.4,,,,,,SE Sesimbra,,,,,,high,0.92,preliminary,https://api.ipma.pt/open-data/observation/seismic/7.json,/home/runner/work/memoria-seismic-observatory/memoria-seismic-observatory/data/bronze/ipma/2026/09/01/area_7_20260901T084033Z.json,,True,,,False,,,,2026-09-01 08:40:33.083913+00:00
MEM-4C831A10238F1115,MEM-4C831A10238F1115,IPMA,2026-08-14 00:39:04+00:00,36.641,-7.44,18.0,0.6,L,0.6,L,0.6,,,,,,Golfo de Cádiz,,,,,,high,0.92,preliminary,https://api.ipma.pt/open-data/observation/seismic/7.json,/home/runner/work/memoria-seismic-observatory/memoria-seismic-observatory/data/bronze/ipma/2026/09/01/area_7_20260901T084033Z.json,,True,,,False,,,,2026-09-01 08:40:33.083913+00:00
MEM-8681CDB987DBC7A5,MEM-8681CDB987DBC7A5,IPMA,2026-08-14 00:39:59+00:00,36.671,-7.473,23.0,0.7,L,0.7,L,0.7,,,,,,Golfo de Cádiz,,,,,,high,0.92,preliminary,https://api.ipma.pt/open-data/observation/seismic/7.json,/home/runner/work/memoria-seismic-observatory/memoria-seismic-observatory/data/bronze/ipma/2026/09/01/area_7_20260901T084033Z.json,,True,,,False,,,,2026-09-01 08:40:33.083913+00:00
